"participant_id","condition","completed_task","number_user_turns","total_user_word_count","average_user_message_length","perc_warmth_bipolar","perc_task_focus_bipolar","psych_safe_1","psych_safe_2","psych_safe_3","psychological_safety_score","openness_1","openness_2_raw","self_reported_honesty_score","engagement_self_report","prior_ai_experience","years_work_experience","age","gender","industry","job_role"
"e2fbc974-e6f2-4bd7-86c8-c9d95aac4310","competent","","1","4","","","","","","","","","","","","","","","","",""
"fc7a86d2-74cb-46c1-885f-756d639c1319","warm","1","3","64","21.33","1","2","6","6","7","6.3333","6","2","6.0","6","1","0.5","19","Female","",""
"efe2e7b6-e294-430d-aaa8-ff6561f87bde","warm","","","","","","","","","","","","","","","","","","","",""
"23f6df14-81d0-4628-82bc-18a74ae057cf","warm","","3","20","","","","","","","","","","","","","","","","",""
"c2ef0b87-0883-48b6-9687-cd301e9395bb","competent","","","","","","","","","","","","","","","","","","","",""
"7eb94b66-44b5-4947-b9fb-281d0528f758","warm","","","","","","","","","","","","","","","","","","","",""
"dd2a6616-a13d-461f-b432-4d89431fe7b5","warm","1","3","39","13.0","","","","","","","","","","","","","","","",""
"8d6f5be4-6888-4ab2-b04c-c75149a44f29","competent","","","","","","","","","","","","","","","","","","","",""
"cbbe4061-990d-4f89-8147-8f69774253fb","warm","","","","","","","","","","","","","","","","","","","",""
"d3766caa-20c8-4ed4-b130-f83bb35a26fb","competent","","","","","","","","","","","","","","","","","","","",""
"62548a0a-337c-44a5-a290-73e2a5e0a9ec","competent","","1","8","","","","","","","","","","","","","","","","",""
"a1046545-0d91-4ccf-911e-71e84ca57474","warm","","","","","","","","","","","","","","","","","","","",""
"18a38aad-14c9-42b8-84eb-d2b86ae54dcc","competent","","","","","","","","","","","","","","","","","","","",""
"1f2406ba-04bd-403c-859f-fc89c693f66e","warm","","","","","","","","","","","","","","","","","","","",""
"0f8919d3-b488-46eb-b177-9bf6944a3a5f","competent","","5","116","","","","","","","","","","","","","","","","",""
"b1a48624-da36-4f39-b838-85a7b5a1e84b","warm","1","3","64","21.33","5","7","6","2","3","3.6667","5","2","5.5","5","1","3.0","23","Prefer not to say","",""
"3b6cdd0f-7e9c-425a-af1a-866ff3d8008e","warm","1","3","69","23.0","6","5","5","3","2","3.3333","5","5","4.0","7","2","4.0","30","Male","",""
"931ebd30-4d2d-416f-b6f1-bc51e624e180","warm","","3","23","","","","","","","","","","","","","","","","",""
"803b381a-e1ed-4e4e-8daf-018421b6933d","warm","","3","10","","","","","","","","","","","","","","","","",""
"25c45619-ad77-4fe3-aafa-baa0ffebdbe6","competent","1","3","22","7.33","","","","","","","","","","","","","","","",""
"ca6b4b19-9bf6-431d-9ff6-e17e2ae6d56a","competent","","","","","","","","","","","","","","","","","","","",""
