"participant_id","condition","completed_task","number_user_turns","total_user_word_count","average_user_message_length","started_at","completed_at","dropout_stage","created_at"
"e2fbc974-e6f2-4bd7-86c8-c9d95aac4310","competent","","1","4","","2026-06-26T15:01:17.467873","","","2026-06-26T15:01:17.468555"
"fc7a86d2-74cb-46c1-885f-756d639c1319","warm","True","3","64","21.33","2026-06-30T07:53:24.360485","2026-06-30T07:55:29.244014","","2026-06-30T07:53:24.361762"
"efe2e7b6-e294-430d-aaa8-ff6561f87bde","warm","","","","","2026-06-30T09:48:52.355038","","","2026-06-30T09:48:52.355549"
"23f6df14-81d0-4628-82bc-18a74ae057cf","warm","","3","20","","2026-06-29T15:22:24.542836","","","2026-06-29T15:22:24.543514"
"c2ef0b87-0883-48b6-9687-cd301e9395bb","competent","","","","","2026-06-29T15:26:51.396031","","","2026-06-29T15:26:51.407000"
"7eb94b66-44b5-4947-b9fb-281d0528f758","warm","","","","","2026-06-26T14:04:50.657300","","","2026-06-26T14:04:50.658562"
"dd2a6616-a13d-461f-b432-4d89431fe7b5","warm","True","3","39","13.0","2026-06-26T14:03:01.843092","2026-06-26T14:05:33.501691","","2026-06-26T14:03:01.854851"
"8d6f5be4-6888-4ab2-b04c-c75149a44f29","competent","","","","","2026-06-26T14:08:34.576686","","","2026-06-26T14:08:34.592312"
"cbbe4061-990d-4f89-8147-8f69774253fb","warm","","","","","2026-06-29T15:27:20.003927","","","2026-06-29T15:27:20.014629"
"d3766caa-20c8-4ed4-b130-f83bb35a26fb","competent","","","","","2026-06-29T15:27:20.942578","","","2026-06-29T15:27:20.952981"
"62548a0a-337c-44a5-a290-73e2a5e0a9ec","competent","","1","8","","2026-06-26T14:08:50.047139","","","2026-06-26T14:08:50.047971"
"a1046545-0d91-4ccf-911e-71e84ca57474","warm","","","","","2026-06-26T14:12:45.129746","","","2026-06-26T14:12:45.131117"
"18a38aad-14c9-42b8-84eb-d2b86ae54dcc","competent","","","","","2026-06-26T14:13:04.247915","","","2026-06-26T14:13:04.263066"
"1f2406ba-04bd-403c-859f-fc89c693f66e","warm","","","","","2026-06-30T09:50:20.200851","","","2026-06-30T09:50:20.201415"
"0f8919d3-b488-46eb-b177-9bf6944a3a5f","competent","","5","116","","2026-06-26T17:19:10.927292","","","2026-06-26T17:19:10.927968"
"b1a48624-da36-4f39-b838-85a7b5a1e84b","warm","True","3","64","21.33","2026-06-30T07:24:18.129763","2026-06-30T07:27:09.105772","","2026-06-30T07:24:18.145110"
"3b6cdd0f-7e9c-425a-af1a-866ff3d8008e","warm","True","3","69","23.0","2026-06-30T07:15:17.209954","2026-06-30T07:16:14.534995","","2026-06-30T07:15:17.221062"
"931ebd30-4d2d-416f-b6f1-bc51e624e180","warm","","3","23","","2026-06-26T14:13:34.385191","","","2026-06-26T14:13:34.386020"
"803b381a-e1ed-4e4e-8daf-018421b6933d","warm","","3","10","","2026-06-29T16:19:05.460979","","","2026-06-29T16:19:05.473003"
"25c45619-ad77-4fe3-aafa-baa0ffebdbe6","competent","True","3","22","7.33","2026-06-29T15:36:19.451091","2026-06-29T15:37:59.473218","","2026-06-29T15:36:19.452326"
"ca6b4b19-9bf6-431d-9ff6-e17e2ae6d56a","competent","","","","","2026-06-29T15:41:24.374682","","","2026-06-29T15:41:24.384715"
"65e9498e-a6de-4979-90ce-43df79457b1c","competent","","","","","2026-06-29T15:41:37.524650","","","2026-06-29T15:41:37.534787"
"7fb77e05-3a81-4260-a91b-948ad5aca1f3","competent","","","","","2026-06-29T15:44:12.583785","","","2026-06-29T15:44:12.593213"
"5e97b028-015a-4fd3-b201-682323e79ab5","warm","True","3","3","1.0","2026-06-29T15:28:12.504712","2026-06-29T15:31:38.426691","","2026-06-29T15:28:12.505596"
"50fc8f68-cdf3-4461-9707-9aa16c4fccca","warm","True","3","14","4.67","2026-06-29T15:06:57.338045","2026-06-29T15:07:59.047033","","2026-06-29T15:06:57.343639"
"9cebd347-3f06-4c78-a047-18917118324e","warm","","5","20","","2026-06-26T14:16:46.117113","","","2026-06-26T14:16:46.117891"
"97fa6aea-d7e5-4db9-94df-8c6c9b7ef1a9","competent","","1","5","","2026-06-29T15:33:05.273881","","","2026-06-29T15:33:05.275172"
"604a01d9-b894-4e11-9460-3b806350c443","competent","","","","","2026-06-30T07:16:28.561649","","","2026-06-30T07:16:28.562756"
"3aa0d065-a6f2-4fc7-bb70-9c9df3b589c1","competent","","","","","2026-06-30T07:29:46.584521","","","2026-06-30T07:29:46.585993"
