"participant_id","condition","perc_warmth_bipolar","perc_task_focus_bipolar","psych_safe_1","psych_safe_2","psych_safe_3","psychological_safety_mean","openness_1","openness_2_reverse_coded","self_reported_honesty_mean","engagement_self_report","ai_experience","years_work_experience","age","gender","industry","job_role","timestamp_submit"
"3b6cdd0f-7e9c-425a-af1a-866ff3d8008e","warm","6","5","5","3","2","3.3333","5","5","4.0","7","2","4.0","30","Male","","","2026-06-30T07:16:14.534995"
"b1a48624-da36-4f39-b838-85a7b5a1e84b","warm","5","7","6","2","3","3.6667","5","2","5.5","5","1","3.0","23","Prefer not to say","","","2026-06-30T07:27:09.105772"
"fc7a86d2-74cb-46c1-885f-756d639c1319","warm","1","2","6","6","7","6.3333","6","2","6.0","6","1","0.5","19","Female","","","2026-06-30T07:55:29.244014"
"753dbd45-9a45-4f11-9a21-121b3caeddfe","warm","4","2","4","6","6","5.3333","5","4","4.5","3","5","3.0","23","Female","Consulting","Marketing","2026-06-30T09:52:02.552963"
"b4dd996e-3c86-40e6-a62a-f672f6702d96","warm","2","2","5","6","5","5.3333","5","6","3.5","6","3","2.0","","","","","2026-06-30T10:19:23.722101"
"19f579f0-1551-44d7-9248-778a3dfdc52f","warm","6","6","7","5","7","6.3333","7","1","7.0","6","4","4.0","27","","Analytics","Data Engineering","2026-06-30T10:47:08.867164"
"d6938eca-8423-48d9-9ccd-ebcb9f0264a0","warm","5","5","7","6","6","6.3333","7","7","4.0","3","3","6.0","32","Male","Consulting","Project Lead","2026-06-30T19:09:47.647305"
"dbf6a66d-6450-4604-864b-3a8caa97729a","competent","6","6","5","5","6","5.3333","5","5","4.0","3","7","5.0","24","Female","","Working student, project management ","2026-07-01T08:03:38.267485"
"d890fb02-ec22-499a-8b0e-adc82aab24f8","warm","3","5","5","5","5","5.0","5","3","5.0","5","6","3.0","24","Female","","","2026-07-02T06:55:30.987080"
"bbe4c79f-1936-4937-8478-74e40a271ee1","warm","2","1","7","7","7","7.0","7","2","6.5","7","3","5.0","27","Male","Civil engineering","Student","2026-07-28T14:22:09.336738"
"862feeb6-f763-4f85-9ce3-2c82638ad4ea","competent","6","6","2","3","3","2.6667","6","4","5.0","1","3","4.0","29","Male","","Software developer","2026-07-28T14:24:17.063258"
"86f3c723-7d51-4fbb-b10c-3da681b91720","competent","2","7","7","7","7","7.0","7","1","7.0","5","1","0.5","19","Female","Management and technology","Student","2026-07-28T14:26:43.026107"
"8b503172-ac80-4438-b77b-8fd8c608164a","warm","4","4","5","5","6","5.3333","7","6","4.5","5","5","3.0","23","Female","","","2026-07-28T14:30:09.735594"
