participant_id,condition,model_name,model_id,completed_task,number_user_turns,total_user_word_count,average_user_message_length,started_at,completed_at,dropout_stage
bc997db2-2943-41fb-8c5b-011c32b6719d,competent,GPT-4o,gpt-4o,1,4,644,161.0,2026-07-31T21:05:57.062380,2026-07-31T21:06:23.715794,
88247c90-f6e1-4819-8570-3af4f238b39e,competent,Claude Haiku,claude-haiku-4-5-20251001,1,4,1048,262.0,2026-07-31T21:06:26.206508,2026-07-31T21:07:05.777633,
8c8cd18e-81ed-4f98-89ff-12166c31bd5b,competent,Claude Sonnet,claude-sonnet-5,0,0,0,0,2026-07-31T21:07:08.278591,,turn_0_participant_error
86f937af-781c-4be9-aa11-1241cd046b5d,warm,Claude Haiku,claude-haiku-4-5-20251001,1,4,1006,251.5,2026-07-31T21:07:17.846845,2026-07-31T21:07:53.702732,
9cfac893-1e07-4a6a-b700-2cf89b9409f3,warm,GPT-4o Mini,gpt-4o-mini,1,4,728,182.0,2026-07-31T21:07:56.466210,2026-07-31T21:08:27.006746,
4581efc3-ded5-41fb-a2d9-2a117fef8b13,warm,GPT-4o Mini,gpt-4o-mini,1,4,648,162.0,2026-07-31T21:08:31.078392,2026-07-31T21:09:00.481475,
2be67250-4eae-45e8-ada9-ed828f59a438,warm,Claude Haiku,claude-haiku-4-5-20251001,1,4,1002,250.5,2026-07-31T21:09:03.641840,2026-07-31T21:09:40.944653,
579fb388-340e-4e45-a898-0caea91cd93a,competent,Claude Sonnet,claude-sonnet-5,0,0,0,0,2026-07-31T21:09:44.807961,,turn_0_participant_error
33190797-8c29-4915-93ed-702172def9a6,warm,Claude Sonnet,claude-sonnet-5,0,0,0,0,2026-07-31T21:09:55.452732,,turn_0_participant_error
9a885d2f-cd0b-4e81-8b05-ee7b7c805b94,competent,Claude Sonnet,claude-sonnet-5,0,0,0,0,2026-07-31T21:10:05.069777,,turn_0_participant_error
a68b0efd-bb80-442c-94da-979ab3576400,competent,Claude Sonnet,claude-sonnet-5,0,0,0,0,2026-07-31T21:10:15.035908,,turn_0_participant_error
771d35b1-240f-40fe-a2cb-f264ad8f8263,warm,Claude Haiku,claude-haiku-4-5-20251001,1,4,1009,252.25,2026-07-31T21:10:26.380683,2026-07-31T21:11:07.522263,
5a403a70-8251-430e-b28d-3c2c8fbc7423,competent,Claude Haiku,claude-haiku-4-5-20251001,1,4,1053,263.25,2026-07-31T21:11:10.613783,2026-07-31T21:11:50.258359,
06eb31a6-dd8b-414f-aaf2-3cbfe9a3b959,competent,GPT-4o Mini,gpt-4o-mini,1,4,661,165.25,2026-07-31T21:11:52.892959,2026-07-31T21:12:21.094809,
a10b9267-8b57-45c0-a5ca-9b4947134311,competent,Claude Haiku,claude-haiku-4-5-20251001,1,4,991,247.75,2026-07-31T21:12:24.167700,2026-07-31T21:13:01.924614,
3f288dc9-4d46-45c3-bf9c-4908dcd74c28,competent,GPT-4o,gpt-4o,1,4,759,189.75,2026-07-31T21:13:04.789397,2026-07-31T21:13:28.546975,
497faf08-04b0-4af8-bc76-884fbbde7f38,competent,Claude Haiku,claude-haiku-4-5-20251001,1,4,1016,254.0,2026-07-31T21:13:30.774677,2026-07-31T21:14:05.718378,
476e62e4-fabd-4fa9-aedd-87f7bdd83b8e,warm,GPT-4o,gpt-4o,1,4,674,168.5,2026-07-31T21:14:08.790490,2026-07-31T21:14:34.769290,
47659527-16ee-4a3c-b8f0-c4929683488e,competent,Claude Sonnet,claude-sonnet-5,0,0,0,0,2026-07-31T21:14:36.952159,,turn_0_participant_error
e5e756bd-07dc-4cbc-9cd6-a1d63f68729c,warm,GPT-4o Mini,gpt-4o-mini,1,4,706,176.5,2026-07-31T21:14:45.141473,2026-07-31T21:15:10.846560,
a22082b7-aedc-4fb1-a593-1c072e70fb92,competent,Claude Haiku,claude-haiku-4-5-20251001,1,4,1066,266.5,2026-07-31T21:15:13.342505,2026-07-31T21:15:51.551293,
8e76fb9c-6454-4930-9350-26561719385b,competent,GPT-4o Mini,gpt-4o-mini,1,4,687,171.75,2026-07-31T21:15:54.194830,2026-07-31T21:16:19.559989,
9bf0efae-d7c5-4535-b54b-7fb2c9d8392b,warm,GPT-4o,gpt-4o,1,4,577,144.25,2026-07-31T21:16:22.015590,2026-07-31T21:16:44.255377,
7a5a4660-e45d-4106-9f44-ec7746eee643,warm,GPT-4o Mini,gpt-4o-mini,1,4,690,172.5,2026-07-31T21:16:46.104846,2026-07-31T21:17:12.398758,
cf664a34-77ed-419b-9c99-ba74684617a1,competent,GPT-4o Mini,gpt-4o-mini,1,4,661,165.25,2026-07-31T21:17:14.772624,2026-07-31T21:17:39.204863,
c722062b-7111-406b-a14c-4e82739b2ffe,competent,Claude Sonnet,claude-sonnet-5,0,0,0,0,2026-07-31T21:17:41.785851,,turn_0_participant_error
2cce8c84-12d5-41fe-9770-302541b3f376,competent,GPT-4o,gpt-4o,1,4,613,153.25,2026-07-31T21:17:51.411147,2026-07-31T21:18:15.273431,
0d6ba3f9-eaca-4b89-9fed-959cc1763577,warm,Claude Haiku,claude-haiku-4-5-20251001,1,4,1009,252.25,2026-07-31T21:18:17.115501,2026-07-31T21:18:51.306460,
ceb91454-f56b-4dc8-bbd5-c4d3a0895a96,warm,GPT-4o,gpt-4o,1,4,680,170.0,2026-07-31T21:18:53.772771,2026-07-31T21:19:17.088280,
b8da1588-8e69-4428-a6fb-b3c45e363895,competent,GPT-4o Mini,gpt-4o-mini,1,4,651,162.75,2026-07-31T21:19:19.065537,2026-07-31T21:19:46.376584,
b4a6f3eb-1bc7-4f6a-92e8-10c5260b5af9,competent,GPT-4o Mini,gpt-4o-mini,1,4,597,149.25,2026-07-31T21:19:49.168620,2026-07-31T21:20:17.356925,
f60fbfc0-68c2-4914-bec6-b25b0cb80413,warm,GPT-4o,gpt-4o,1,4,696,174.0,2026-07-31T21:20:20.300231,2026-07-31T21:20:44.669776,
59d14ca7-0120-4247-a944-6697c7136c10,warm,GPT-4o,gpt-4o,1,4,623,155.75,2026-07-31T21:20:47.229126,2026-07-31T21:21:10.276217,
9ad12281-57b3-44dd-aff6-59a15e96d402,warm,GPT-4o,gpt-4o,1,4,480,120.0,2026-07-31T21:21:12.522196,2026-07-31T21:21:34.667086,
3c8ec878-652f-4228-aaa1-bc0bc38fae17,competent,GPT-4o,gpt-4o,1,4,739,184.75,2026-07-31T21:21:36.894477,2026-07-31T21:22:03.313944,
19cb95ce-bfba-49a4-a271-7b5168f58203,competent,Claude Haiku,claude-haiku-4-5-20251001,1,4,981,245.25,2026-07-31T21:22:05.511106,2026-07-31T21:22:42.942353,
c204d28b-c373-4680-94b1-beebf5b08738,competent,GPT-4o Mini,gpt-4o-mini,1,4,687,171.75,2026-07-31T21:22:45.566317,2026-07-31T21:23:11.519874,
6518f3ad-06d3-4325-a2d8-9d94b7710519,warm,Claude Sonnet,claude-sonnet-5,0,0,0,0,2026-07-31T21:23:14.687138,,turn_0_participant_error
2b9a34ab-a156-41dd-857d-4889ac50647a,warm,GPT-4o,gpt-4o,1,4,635,158.75,2026-07-31T21:23:24.503306,2026-07-31T21:23:47.855484,
0bc37e93-2234-434a-9819-c053f4fe17a8,warm,Claude Sonnet,claude-sonnet-5,0,0,0,0,2026-07-31T21:23:50.040418,,turn_0_participant_error
