participant_id,condition,model_name,model_id,perc_warmth_bipolar,perc_task_focus_bipolar,psych_safe_1,psych_safe_2,psych_safe_3,psychological_safety_mean,openness_1,openness_2_raw,self_reported_honesty_mean,engagement_self_report,ai_experience,years_work_experience,age,gender,industry,job_role,timestamp_submit
00d77130-af86-47d1-a8ab-a7e85f97a8ec,warm,Claude Haiku,claude-haiku-4-5-20251001,2,4,6,6,6,6.0,7,1,6.5,7,1,3.4,20,Prefer not to say,Consulting,Graduate Assistant,
06eb31a6-dd8b-414f-aaf2-3cbfe9a3b959,competent,GPT-4o Mini,gpt-4o-mini,3,4,6,5,5,5.33,6,2,5.5,5,6,1.1,26,Female,Media/Entertainment,Graduate Assistant,
0c599023-a74f-41e7-b424-954e968c425e,competent,Claude Haiku,claude-haiku-4-5-20251001,4,6,6,6,5,5.67,7,1,6.5,6,3,4.5,35,Female,Retail,Associate,
0c719c90-45cb-48da-9c6d-bccbd709c356,competent,GPT-4o Mini,gpt-4o-mini,4,5,5,6,5,5.33,6,3,5.0,5,7,2.1,31,Male,Media/Entertainment,Intern,
0d6ba3f9-eaca-4b89-9fed-959cc1763577,warm,Claude Haiku,claude-haiku-4-5-20251001,2,4,6,6,6,6.0,7,1,6.5,7,5,1.3,20,Female,Manufacturing,Entry-level Manager,
0e47c601-e629-4d23-b71d-95ef5370f06e,warm,Claude Haiku,claude-haiku-4-5-20251001,2,4,6,6,6,6.0,7,1,6.5,7,3,3.0,33,Prefer not to say,Government,Junior Analyst,
12e2e5b0-889b-4a61-8cb5-615442a83e60,warm,GPT-4o Mini,gpt-4o-mini,2,4,5,5,6,5.33,6,3,5.0,5,4,4.0,35,Male,Government,Associate,
19cb95ce-bfba-49a4-a271-7b5168f58203,competent,Claude Haiku,claude-haiku-4-5-20251001,5,6,6,6,5,5.67,7,2,6.0,6,1,0.8,30,Prefer not to say,Finance,Coordinator,
1d4bfd64-7677-4409-87da-a54da1d5f388,warm,Claude Haiku,claude-haiku-4-5-20251001,2,4,6,6,6,6.0,7,2,6.0,6,7,1.9,32,Non-binary,Manufacturing,Associate,
21e72114-8f3c-4b81-8f2a-8a22e71ac614,competent,GPT-4o Mini,gpt-4o-mini,3,5,5,5,4,4.67,6,3,5.0,5,6,1.9,25,Female,Technology,Student,
2a01a2ad-a27a-40e9-83f9-c22ae7612d86,competent,GPT-4o,gpt-4o,5,7,5,5,4,4.67,6,2,5.5,6,2,1.5,31,Male,Manufacturing,Graduate Assistant,
2b1c0e0f-c9a1-4e47-92c0-05837a3e52be,warm,Claude Haiku,claude-haiku-4-5-20251001,2,4,6,6,6,6.0,7,1,6.5,6,3,1.8,33,Female,Finance,Graduate Assistant,
2b9a34ab-a156-41dd-857d-4889ac50647a,warm,GPT-4o,gpt-4o,2,6,5,5,5,5.0,6,2,5.5,6,2,0.7,19,Female,Non-profit,Associate,
2be67250-4eae-45e8-ada9-ed828f59a438,warm,Claude Haiku,claude-haiku-4-5-20251001,2,4,6,6,6,6.0,7,1,6.5,7,5,4.0,25,Prefer not to say,Manufacturing,Entry-level Manager,
2bea23b2-4db3-40c4-b6b6-5959587963fa,competent,Claude Haiku,claude-haiku-4-5-20251001,3,6,6,6,6,6.0,7,2,6.0,6,1,1.2,27,Non-binary,Retail,Intern,
2cce8c84-12d5-41fe-9770-302541b3f376,competent,GPT-4o,gpt-4o,5,6,5,5,5,5.0,6,2,5.5,5,6,3.8,30,Female,Media/Entertainment,Junior Analyst,
2e73c553-a7f7-41c4-af5d-daa45c9a5667,warm,GPT-4o,gpt-4o,2,6,6,6,5,5.67,7,1,6.5,5,1,3.9,25,Prefer not to say,Technology,Entry-level Manager,
34352b3b-8956-4363-913d-bd5df42ab42e,warm,Claude Haiku,claude-haiku-4-5-20251001,2,4,6,6,6,6.0,7,1,6.5,6,7,4.3,29,Male,Healthcare,Student,
34c09bd1-99c2-41e6-8e42-e64787c3954e,warm,GPT-4o Mini,gpt-4o-mini,2,4,5,5,4,4.67,6,3,5.0,5,4,4.3,28,Female,Education,Student,
35089735-4a70-4a8d-98e3-ea0a251882ce,warm,Claude Haiku,claude-haiku-4-5-20251001,2,4,6,6,6,6.0,7,1,6.5,7,7,4.1,30,Female,Education,Junior Developer,
3c8ec878-652f-4228-aaa1-bc0bc38fae17,competent,GPT-4o,gpt-4o,4,6,6,6,5,5.67,6,2,5.5,6,7,0.8,29,Prefer not to say,Non-profit,Entry-level Manager,
3f288dc9-4d46-45c3-bf9c-4908dcd74c28,competent,GPT-4o,gpt-4o,6,7,4,4,4,4.0,6,2,5.5,6,2,4.1,29,Non-binary,Consulting,Junior Developer,
